Store,Dept,SuperBowlSales,ChristmasSales,ThanksgivingSales,MayorVenta
1,1,46039.49,23350.88,20911.25,SuperBowlSales
1,1,46039.49,23350.88,18820.29,SuperBowlSales
1,1,46039.49,19124.58,20911.25,SuperBowlSales
1,1,46039.49,19124.58,18820.29,SuperBowlSales
1,1,37887.17,23350.88,20911.25,SuperBowlSales
1,1,37887.17,23350.88,18820.29,SuperBowlSales
1,1,37887.17,19124.58,20911.25,SuperBowlSales
1,1,37887.17,19124.58,18820.29,SuperBowlSales
1,1,36988.49,23350.88,20911.25,SuperBowlSales
1,1,36988.49,23350.88,18820.29,SuperBowlSales
1,1,36988.49,19124.58,20911.25,SuperBowlSales
1,1,36988.49,19124.58,18820.29,SuperBowlSales
1,2,44682.74,43539.94,44259.59,SuperBowlSales
1,2,44682.74,43539.94,45681.98,ThanksgivingSales
1,2,44682.74,35819.83,44259.59,SuperBowlSales
1,2,44682.74,35819.83,45681.98,ThanksgivingSales
1,2,47595.35,43539.94,44259.59,SuperBowlSales
1,2,47595.35,43539.94,45681.98,SuperBowlSales
1,2,47595.35,35819.83,44259.59,SuperBowlSales
1,2,47595.35,35819.83,45681.98,SuperBowlSales
1,2,50581.06,43539.94,44259.59,SuperBowlSales
1,2,50581.06,43539.94,45681.98,SuperBowlSales
1,2,50581.06,35819.83,44259.59,SuperBowlSales
1,2,50581.06,35819.83,45681.98,SuperBowlSales
1,3,10887.84,8848.44,9317.56,ThanksgivingSales
1,3,10887.84,8848.44,10706.81,ChristmasSales
1,3,10887.84,8266.14,9317.56,ThanksgivingSales
1,3,10887.84,8266.14,10706.81,ChristmasSales
1,3,11428.25,8848.44,9317.56,ThanksgivingSales
1,3,11428.25,8848.44,10706.81,ChristmasSales
1,3,11428.25,8266.14,9317.56,ThanksgivingSales
1,3,11428.25,8266.14,10706.81,ChristmasSales
1,3,12388.85,8848.44,9317.56,ThanksgivingSales
1,3,12388.85,8848.44,10706.81,ChristmasSales
1,3,12388.85,8266.14,9317.56,ThanksgivingSales
1,3,12388.85,8266.14,10706.81,ChristmasSales
1,4,35351.21,37371.22,46564.14,ThanksgivingSales
1,4,35351.21,37371.22,46201.27,ThanksgivingSales
1,4,35351.21,36913.8,46564.14,ThanksgivingSales
1,4,35351.21,36913.8,46201.27,ThanksgivingSales
1,4,37373.33,37371.22,46564.14,ThanksgivingSales
1,4,37373.33,37371.22,46201.27,ThanksgivingSales
1,4,37373.33,36913.8,46564.14,ThanksgivingSales
1,4,37373.33,36913.8,46201.27,ThanksgivingSales
1,4,39305.13,37371.22,46564.14,ThanksgivingSales
1,4,39305.13,37371.22,46201.27,ThanksgivingSales
1,4,39305.13,36913.8,46564.14,ThanksgivingSales
1,4,39305.13,36913.8,46201.27,ThanksgivingSales
1,5,29620.81,34981.76,79340.15,ThanksgivingSales
1,5,29620.81,34981.76,70158.86,ThanksgivingSales
1,5,29620.81,32280.82,79340.15,ThanksgivingSales
1,5,29620.81,32280.82,70158.86,ThanksgivingSales
1,5,36667.65,34981.76,79340.15,ThanksgivingSales
